year,metric,value,,,
1996,deaths,522,,,
1996,injuries,2700,,,
1996,damage,335920800.2,,,
1996,eventcount,1854,,,
1997,deaths,600,,,
,injuries,3791,,,
,damage,415370700,,,
,eventcount,2154,,,
1998,deaths,685,,,
,injuries,11139,,,
,damage,997457000,,,
,eventcount,3041,,,
1999,deaths,907,,,
,injuries,5144,,,
,damage,416062000,,,
,eventcount,1920,,,
2000,deaths,477,,,
,injuries,2803,,,
,damage,264773700,,,
,eventcount,2155,,,
2001,deaths,469,,,
,injuries,2721,,,
,damage,169789100,,,
,eventcount,1963,,,
2002,deaths,498,,,
,injuries,3155,,,
,damage,230095700,,,
,eventcount,1640,,,
2003,deaths,443,,,
,injuries,2931,,,
,damage,514151601,,,
,eventcount,1966,,,
2004,deaths,370,,,
,injuries,2426,,,
,damage,845355404,,,
,eventcount,1740,,,
2005,deaths,1451,,,
,injuries,1834,,,
,damage,1092783101,,,
,eventcount,1657,,,
2006,deaths,659,,,
,injuries,4087,,,
,damage,1794421800,,,
,eventcount,3769,,,
2007,deaths,713,,,
,injuries,4505,,,
,damage,7294872800,,,
,eventcount,14328,,,
2008,deaths,824,,,
,injuries,6518,,,
,damage,12296934600,,,
,eventcount,20335,,,
2009,deaths,558,,,
,injuries,2837,,,
,damage,6223247900,,,
,eventcount,15721,,,
2010,deaths,677,,,
,injuries,3234,,,
,damage,5865969302,,,
,eventcount,16052,,,
2011,deaths,1336,,,
,injuries,9898,,,
,damage,12795976909,,,
,eventcount,20871,,,
2012,deaths,707,,,
,injuries,3285,,,
,damage,10839428122,,,
,eventcount,14740,,,
2013,deaths,592,,,
,injuries,4270,,,
,damage,7557886202,,,
,eventcount,14433,,,
2014,deaths,557,,,
,injuries,2978,,,
,damage,4574760702,,,
,eventcount,12955,,,
2015,deaths,700,,,
,injuries,2867,,,
,damage,3448453401,,,
,eventcount,12404,,,
2016,deaths,660,,,
,injuries,1557,,,
,damage,9852003407,,,
,eventcount,11671,,,